1;Empresa1;1@email.pt;Rua 1;1;0.1;Lazer;Vila Real;
2;Empresa2;2@email.pt;Rua 2;2;0.3;Educaçao;Lisboa;
3;Empresa3;3@email.pt;Rua 3;3;0.1;Saude;Porto;
4;Empresa4;4@email.pt;Rua 4;4;0.5;Alimentaçao;Maia;
5;Empresa5;5@email.pt;Rua 5;5;0.2;Transportes;Braga;
6;Empresa6;6@email.pt;Rua 6;6;0.1;Lazer,Educaçao;Vila Verde;
7;Empresa7;7@email.pt;Rua 7;7;0.1;Educaçao;Chaves;
8;Empresa8;8@email.pt;Rua 8;8;0.3;Saude;Mirandela;
9;Empresa9;8@email.pt;Rua 9;9;0.1;Alimentaçao,Transportes;Setubal;
10;Empresa10;10@email.pt;Rua 10;10;0.4;Transportes;Aveiro;
11;Empresa11;11@email.pt;Rua 11;11;0.1;Lazer;Figueira da Foz;
12;Empresa12;12@email.pt;Rua 12;12;0.6;Educaçao;Coimbra;
13;Empresa13;13@email.pt;Rua 13;13;0.1;Saude;Vila do Conde;
14;Empresa14;14@email.pt;Rua 14;14;0.2;Alimentaçao;Boticas;
15;Empresa15;15@email.pt;Rua 15;15;0.1;Transportes;Murça;
